Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"L3085398", 12.47, 1,    7280.05,  -44.9,    1.0112, 2,    7342.66, -167.1,    1.0199, 3,    7374.86,   79.5,    1.0243
"M1026891", 12.47, 1,    7276.75,  -44.9,    1.0107, 2,    7336.34, -167.1,     1.019, 3,     7373.7,   79.5,    1.0242
"L3216367", 12.47, 1,    7350.37,  -44.4,    1.0209, 2,    7305.31, -166.7,    1.0147, 3,    7311.07,   79.2,    1.0155
"M1069468", 12.47, 1,    7349.72,  -44.4,    1.0209, 2,    7303.07, -166.7,    1.0144, 3,    7310.28,   79.1,    1.0154
"M1142800", 12.47, 2,    7196.79, -159.0,   0.99962, 0, 0, 0, 0, 0, 0, 0, 0
"M1142799", 12.47, 2,    7196.62, -159.0,   0.99959, 0, 0, 0, 0, 0, 0, 0, 0
"M1047592", 12.47, 1,    7398.41,  -44.5,    1.0276, 2,    7422.97, -166.6,     1.031, 3,    7408.51,   79.5,     1.029
"P827512", 12.47, 3,     7408.5,   79.5,     1.029, 0, 0, 0, 0, 0, 0, 0, 0
"M1047339", 12.47, 1,    7265.56,  -40.8,    1.0092, 2,     7211.6, -161.7,    1.0017, 3,    7419.56,   79.9,    1.0306
"P895104", 12.47, 1,    7265.52,  -40.8,    1.0092, 0, 0, 0, 0, 0, 0, 0, 0
"M1026915", 12.47, 1,    7278.44,  -44.9,     1.011, 2,    7344.92, -167.1,    1.0202, 3,    7373.84,   79.5,    1.0242
"M1026920", 12.47, 1,    7276.37,  -44.9,    1.0107, 2,    7343.91, -167.1,    1.0201, 3,    7372.84,   79.5,    1.0241
"N1138596", 12.47, 1,    7332.12,  -44.3,    1.0184, 0, 0, 0, 0, 0, 0, 0, 0
"L3254207", 12.47, 1,    7331.62,  -44.3,    1.0183, 0, 0, 0, 0, 0, 0, 0, 0
"M1069464", 12.47, 1,     7348.7,  -44.4,    1.0207, 2,    7299.06, -166.7,    1.0138, 3,    7308.89,   79.1,    1.0152
"P873787", 12.47, 2,    7299.03, -166.7,    1.0138, 0, 0, 0, 0, 0, 0, 0, 0
"N1144665", 12.47, 1,    7423.56,  -44.3,    1.0311, 2,    7436.32, -166.4,    1.0329, 3,    7400.69,   79.6,    1.0279
"M1047515", 12.47, 1,    7418.24,  -44.3,    1.0304, 2,    7432.39, -166.4,    1.0323, 3,    7395.95,   79.6,    1.0273
"N1137002", 12.47, 1,    7389.54,  -44.3,    1.0264, 0, 0, 0, 0, 0, 0, 0, 0
"M1047707", 12.47, 1,    7389.24,  -44.3,    1.0263, 0, 0, 0, 0, 0, 0, 0, 0
"L2729406", 12.47, 3,    7260.27,   81.3,    1.0084, 0, 0, 0, 0, 0, 0, 0, 0
"L2897768", 12.47, 3,    7259.73,   81.3,    1.0084, 0, 0, 0, 0, 0, 0, 0, 0
"L3649301", 12.47, 1,    7366.96,  -44.6,    1.0233, 0, 0, 0, 0, 0, 0, 0, 0
"L3649302", 12.47, 1,    7366.58,  -44.6,    1.0232, 0, 0, 0, 0, 0, 0, 0, 0
"L2970842", 12.47, 2,    7438.19, -160.5,    1.0331, 0, 0, 0, 0, 0, 0, 0, 0
"M1089113", 12.47, 2,    7436.77, -160.5,    1.0329, 0, 0, 0, 0, 0, 0, 0, 0
"M1047312", 12.47, 1,     7231.5,  -40.8,    1.0044, 2,    7175.27, -161.7,   0.99663, 3,    7410.37,   79.9,    1.0293
"P893163", 12.47, 1,    7231.42,  -40.8,    1.0044, 0, 0, 0, 0, 0, 0, 0, 0
"L2822871", 12.47, 1,    7312.16,  -44.8,    1.0156, 2,    7379.83, -166.9,     1.025, 3,    7384.55,   79.5,    1.0257
"M1026872", 12.47, 1,    7309.49,  -44.8,    1.0153, 2,    7377.05, -166.9,    1.0247, 3,    7383.63,   79.5,    1.0256
"M1026312", 12.47, 2,    7021.15, -162.0,   0.97522, 0, 0, 0, 0, 0, 0, 0, 0
"L2973163", 12.47, 2,    7018.41, -162.0,   0.97484, 0, 0, 0, 0, 0, 0, 0, 0
"L3728038", 12.47, 1,    7356.08,  -44.5,    1.0217, 0, 0, 0, 0, 0, 0, 0, 0
"L3728039", 12.47, 1,    7355.55,  -44.5,    1.0217, 0, 0, 0, 0, 0, 0, 0, 0
"M1069567", 12.47, 2,    7264.68, -165.4,     1.009, 0, 0, 0, 0, 0, 0, 0, 0
"M1069582", 12.47, 2,    7255.54, -165.4,    1.0078, 0, 0, 0, 0, 0, 0, 0, 0
"N1140830", 12.47, 1,    7220.16,  -44.7,    1.0029, 0, 0, 0, 0, 0, 0, 0, 0
"L3216351", 12.47, 1,    7220.07,  -44.7,    1.0028, 0, 0, 0, 0, 0, 0, 0, 0
"L2952007", 12.47, 3,    7377.74,   84.7,    1.0247, 0, 0, 0, 0, 0, 0, 0, 0
"L2861158", 12.47, 3,     7377.4,   84.7,    1.0247, 0, 0, 0, 0, 0, 0, 0, 0
"N1140827", 12.47, 1,    7225.45,  -44.6,    1.0036, 2,     7390.5, -166.3,    1.0265, 3,    7265.14,   79.7,    1.0091
"M1026726", 12.47, 1,    7225.38,  -44.6,    1.0036, 2,    7390.37, -166.3,    1.0265, 3,    7265.07,   79.7,    1.0091
"L2730106", 12.47, 1,    6825.34,  -41.0,   0.94802, 2,    7045.01, -162.1,   0.97853, 3,    7454.47,   81.5,    1.0354
"N1142099", 12.47, 1,    6822.72,  -41.0,   0.94766, 2,    7043.72, -162.1,   0.97835, 3,    7454.41,   81.5,    1.0354
"M1026658", 12.47, 1,    7218.45,  -44.7,    1.0026, 2,    7392.08, -166.3,    1.0267, 3,    7250.44,   79.7,    1.0071
"L3172805", 12.47, 1,    7218.27,  -44.7,    1.0026, 0, 0, 0, 0, 0, 0, 0, 0
"P895112", 12.47, 1,    7123.28,  -38.7,   0.98941, 0, 0, 0, 0, 0, 0, 0, 0
"L3048962", 12.47, 1,    7123.22,  -38.7,    0.9894, 0, 0, 0, 0, 0, 0, 0, 0
"L2991914", 12.47, 1,    7371.04,  -44.4,    1.0238, 2,    7405.25, -166.4,    1.0286, 3,    7356.84,   79.6,    1.0218
"M1047503", 12.47, 1,    7367.36,  -44.4,    1.0233, 2,    7404.94, -166.4,    1.0285, 3,    7354.49,   79.6,    1.0215
"M1047751", 12.47, 1,    7346.41,  -44.1,    1.0204, 0, 0, 0, 0, 0, 0, 0, 0
"L2973154", 12.47, 1,    7346.37,  -44.1,    1.0204, 0, 0, 0, 0, 0, 0, 0, 0
"L3010565", 12.47, 3,    7412.12,   80.4,    1.0295, 0, 0, 0, 0, 0, 0, 0, 0
"L2897775", 12.47, 3,    7411.86,   80.4,    1.0295, 0, 0, 0, 0, 0, 0, 0, 0
"M1125955", 12.47, 3,     7456.7,   82.0,    1.0357, 0, 0, 0, 0, 0, 0, 0, 0
"M1125957", 12.47, 3,    7456.68,   82.0,    1.0357, 0, 0, 0, 0, 0, 0, 0, 0
"M1069640", 12.47, 2,    7228.02, -165.4,     1.004, 0, 0, 0, 0, 0, 0, 0, 0
"L2804269", 12.47, 2,    7227.28, -165.4,    1.0038, 0, 0, 0, 0, 0, 0, 0, 0
"M1026702", 12.47, 1,    7249.26,  -44.6,    1.0069, 2,    7394.35, -166.3,    1.0271, 3,    7284.16,   79.7,    1.0118
"N1139551", 12.47, 1,    7237.96,  -44.6,    1.0053, 2,    7393.76, -166.3,     1.027, 3,     7277.6,   79.7,    1.0108
"N1136355", 12.47, 2,     7305.5, -165.3,    1.0147, 0, 0, 0, 0, 0, 0, 0, 0
"L2783231", 12.47, 2,    7298.15, -165.3,    1.0137, 0, 0, 0, 0, 0, 0, 0, 0
"L2748143", 12.47, 1,    7222.95,  -43.1,    1.0032, 0, 0, 0, 0, 0, 0, 0, 0
"L3251854", 12.47, 1,    7222.84,  -43.1,    1.0032, 0, 0, 0, 0, 0, 0, 0, 0
"M1069610", 12.47, 2,     7239.1, -165.4,    1.0055, 0, 0, 0, 0, 0, 0, 0, 0
"M1069600", 12.47, 2,    7238.99, -165.4,    1.0055, 0, 0, 0, 0, 0, 0, 0, 0
"M1069424", 12.47, 1,    7340.84,  -44.4,    1.0196, 2,    7268.38, -166.8,    1.0096, 3,    7298.21,   79.0,    1.0137
"L2935549", 12.47, 1,    7339.77,  -44.3,    1.0195, 2,    7264.19, -166.8,     1.009, 3,    7296.94,   79.0,    1.0135
"P895089", 12.47, 3,    7503.72,   80.5,    1.0422, 0, 0, 0, 0, 0, 0, 0, 0
"L3235242", 12.47, 3,     7503.5,   80.5,    1.0422, 0, 0, 0, 0, 0, 0, 0, 0
"M1026795", 12.47, 1,    7331.85,  -44.5,    1.0184, 2,    7402.18, -166.4,    1.0281, 3,     7332.1,   79.6,    1.0184
"N1140522", 12.47, 3,    7332.07,   79.6,    1.0184, 0, 0, 0, 0, 0, 0, 0, 0
"L3030199", 12.47, 1,     7168.4,  -38.7,   0.99567, 2,    7198.13, -159.1,    0.9998, 3,    7441.18,   82.1,    1.0336
"M1125934", 12.47, 1,    7168.41,  -38.7,   0.99567, 2,    7197.17, -159.1,   0.99967, 3,    7440.51,   82.1,    1.0335
"M1069189", 12.47, 1,    7422.75,  -40.2,     1.031, 2,    7387.15, -160.7,    1.0261, 3,    7430.89,   80.4,    1.0321
"L2860487", 12.47, 3,    7430.75,   80.4,    1.0321, 0, 0, 0, 0, 0, 0, 0, 0
"221-312488", 12.47, 1,    6861.99,  -40.5,   0.95311, 2,    7044.32, -161.5,   0.97844, 3,     7446.6,   81.7,    1.0343
"M1089183", 12.47, 1,    6861.98,  -40.5,   0.95311, 2,    7044.31, -161.5,   0.97844, 3,    7446.59,   81.7,    1.0343
"M1108464", 12.47, 2,    7041.86, -161.6,    0.9781, 0, 0, 0, 0, 0, 0, 0, 0
"L3102286", 12.47, 2,    7041.35, -161.6,   0.97803, 0, 0, 0, 0, 0, 0, 0, 0
"F739845", 12.47, 1,    7214.41,  -40.8,    1.0021, 2,    7148.36, -161.8,   0.99289, 3,    7404.96,   79.9,    1.0285
"293471", 12.47, 1,    7214.34,  -40.8,    1.0021, 2,    7148.28, -161.8,   0.99288, 3,    7404.89,   79.9,    1.0285
"P827499", 12.47, 1,    7338.63,  -44.3,    1.0193, 0, 0, 0, 0, 0, 0, 0, 0
"N1139254", 12.47, 1,    7338.62,  -44.3,    1.0193, 0, 0, 0, 0, 0, 0, 0, 0
"M1026657", 12.47, 1,    7214.83,  -44.7,    1.0021, 0, 0, 0, 0, 0, 0, 0, 0
"M1026656", 12.47, 1,     7214.6,  -44.7,    1.0021, 0, 0, 0, 0, 0, 0, 0, 0
"M1108299", 12.47, 2,     7165.5, -159.4,   0.99527, 0, 0, 0, 0, 0, 0, 0, 0
"M1108300", 12.47, 2,    7165.47, -159.4,   0.99527, 0, 0, 0, 0, 0, 0, 0, 0
"L3198355", 12.47, 2,    7165.08, -159.4,   0.99521, 0, 0, 0, 0, 0, 0, 0, 0
"L2805037", 12.47, 2,    7165.08, -159.4,   0.99521, 0, 0, 0, 0, 0, 0, 0, 0
"N1137994", 12.47, 3,    7316.21,   79.2,    1.0162, 0, 0, 0, 0, 0, 0, 0, 0
"M1069484", 12.47, 3,    7314.71,   79.2,     1.016, 0, 0, 0, 0, 0, 0, 0, 0
"L2860504", 12.47, 1,     7221.2,  -44.7,     1.003, 0, 0, 0, 0, 0, 0, 0, 0
"L2860493", 12.47, 1,    7220.49,  -44.7,    1.0029, 0, 0, 0, 0, 0, 0, 0, 0
"M1026783", 12.47, 1,    7320.94,  -44.5,    1.0169, 2,    7401.27, -166.4,     1.028, 3,    7326.02,   79.6,    1.0176
"M1026780", 12.47, 1,     7319.2,  -44.5,    1.0166, 2,     7401.1, -166.4,     1.028, 3,    7325.05,   79.6,    1.0174
"P895111", 12.47, 3,    7460.01,   82.3,    1.0362, 0, 0, 0, 0, 0, 0, 0, 0
"L2895496", 12.47, 3,    7459.67,   82.3,    1.0361, 0, 0, 0, 0, 0, 0, 0, 0
"N1140819", 12.47, 1,    7229.81,  -44.6,    1.0042, 2,    7391.56, -166.3,    1.0267, 3,    7269.67,   79.7,    1.0097
"M1026700", 12.47, 1,    7228.65,  -44.6,     1.004, 2,    7391.18, -166.3,    1.0266, 3,    7268.39,   79.7,    1.0096
"M1089173", 12.47, 3,    7263.07,   81.3,    1.0088, 0, 0, 0, 0, 0, 0, 0, 0
"L2935551", 12.47, 3,    7262.08,   81.3,    1.0087, 0, 0, 0, 0, 0, 0, 0, 0
"M1026344", 12.47, 1,     7168.4,  -40.7,   0.99567, 0, 0, 0, 0, 0, 0, 0, 0
"M1026364", 12.47, 1,    7168.09,  -40.7,   0.99563, 0, 0, 0, 0, 0, 0, 0, 0
"L2879070", 12.47, 1,    7386.48,  -44.6,     1.026, 2,    7418.79, -166.6,    1.0305, 3,    7404.86,   79.6,    1.0285
"L3216345", 12.47, 1,     7378.4,  -44.6,    1.0248, 2,     7416.2, -166.7,    1.0301, 3,    7402.83,   79.6,    1.0282
"M1069428", 12.47, 1,    7341.93,  -44.4,    1.0198, 2,    7271.93, -166.8,    1.0101, 3,    7299.34,   79.0,    1.0139
"N1139257", 12.47, 2,    7271.88, -166.8,      1.01, 0, 0, 0, 0, 0, 0, 0, 0
"L2991919", 12.47, 1,    7164.34,  -40.7,   0.99511, 0, 0, 0, 0, 0, 0, 0, 0
"M1026361", 12.47, 1,    7161.78,  -40.7,   0.99475, 0, 0, 0, 0, 0, 0, 0, 0
"N1147857", 12.47, 1,     7233.5,  -44.9,    1.0047, 0, 0, 0, 0, 0, 0, 0, 0
"M1009742", 12.47, 1,    7231.77,  -44.9,    1.0045, 0, 0, 0, 0, 0, 0, 0, 0
"Q14412", 12.47, 1,    7256.36,  -40.8,    1.0079, 2,    7202.04, -161.7,    1.0003, 3,    7417.25,   79.9,    1.0302
"M1047325", 12.47, 1,    7253.75,  -40.8,    1.0075, 2,    7199.39, -161.7,   0.99998, 3,    7416.57,   79.9,    1.0301
"N1139263", 12.47, 1,    7349.64,  -44.4,    1.0208, 0, 0, 0, 0, 0, 0, 0, 0
"L3048227", 12.47, 1,    7349.58,  -44.4,    1.0208, 0, 0, 0, 0, 0, 0, 0, 0
"P827506", 12.47, 1,    7349.69,  -44.4,    1.0209, 0, 0, 0, 0, 0, 0, 0, 0
"M1069469", 12.47, 1,    7349.66,  -44.4,    1.0208, 0, 0, 0, 0, 0, 0, 0, 0
"M1027019", 12.47, 2,    7307.14, -167.2,    1.0149, 0, 0, 0, 0, 0, 0, 0, 0
"L2785522", 12.47, 2,    7307.03, -167.2,    1.0149, 0, 0, 0, 0, 0, 0, 0, 0
"L3216338", 12.47, 2,    7247.79, -167.3,    1.0067, 0, 0, 0, 0, 0, 0, 0, 0
"L2973146", 12.47, 2,    7247.68, -167.3,    1.0067, 0, 0, 0, 0, 0, 0, 0, 0
"M3037452", 12.47, 1,    7154.29,  -40.7,   0.99371, 0, 0, 0, 0, 0, 0, 0, 0
"L2973164", 12.47, 1,    7154.22,  -40.7,    0.9937, 0, 0, 0, 0, 0, 0, 0, 0
"L3120376", 12.47, 1,    7323.63,  -44.8,    1.0172, 0, 0, 0, 0, 0, 0, 0, 0
"M1026925", 12.47, 1,    7321.93,  -44.8,     1.017, 0, 0, 0, 0, 0, 0, 0, 0
"M1047612", 12.47, 3,    7416.47,   79.6,    1.0301, 0, 0, 0, 0, 0, 0, 0, 0
"P828360", 12.47, 3,    7416.44,   79.6,    1.0301, 0, 0, 0, 0, 0, 0, 0, 0
"M1089195", 12.47, 3,    7503.24,   80.5,    1.0422, 0, 0, 0, 0, 0, 0, 0, 0
"L3141393", 12.47, 3,    7503.03,   80.5,    1.0422, 0, 0, 0, 0, 0, 0, 0, 0
"M1026946", 12.47, 2,    7323.61, -167.1,    1.0172, 0, 0, 0, 0, 0, 0, 0, 0
"M1026940", 12.47, 2,    7323.08, -167.1,    1.0172, 0, 0, 0, 0, 0, 0, 0, 0
"M1047471", 12.47, 2,    7126.48, -167.2,   0.98985, 0, 0, 0, 0, 0, 0, 0, 0
"L3216349", 12.47, 2,    7126.46, -167.2,   0.98985, 0, 0, 0, 0, 0, 0, 0, 0
"M1047401", 12.47, 1,    7164.57,  -44.8,   0.99514, 0, 0, 0, 0, 0, 0, 0, 0
"L2748132", 12.47, 1,    7164.49,  -44.8,   0.99513, 0, 0, 0, 0, 0, 0, 0, 0
"L3122820", 12.47, 1,    7194.06,  -44.7,   0.99924, 0, 0, 0, 0, 0, 0, 0, 0
"L3141398", 12.47, 1,       7194,  -44.7,   0.99923, 0, 0, 0, 0, 0, 0, 0, 0
"M1108360", 12.47, 3,    7336.83,   81.4,    1.0191, 0, 0, 0, 0, 0, 0, 0, 0
"L3048968", 12.47, 3,    7336.61,   81.4,     1.019, 0, 0, 0, 0, 0, 0, 0, 0
"L2801950", 12.47, 3,    7392.47,   80.4,    1.0268, 0, 0, 0, 0, 0, 0, 0, 0
"M1069224", 12.47, 3,    7391.81,   80.4,    1.0267, 0, 0, 0, 0, 0, 0, 0, 0
"L2766746", 12.47, 3,    7295.38,   79.3,    1.0133, 0, 0, 0, 0, 0, 0, 0, 0
"M1027073", 12.47, 3,    7293.23,   79.3,     1.013, 0, 0, 0, 0, 0, 0, 0, 0
"M1142873", 12.47, 3,    7459.42,   82.3,    1.0361, 0, 0, 0, 0, 0, 0, 0, 0
"M1069181", 12.47, 1,    7381.82,  -40.3,    1.0253, 0, 0, 0, 0, 0, 0, 0, 0
"L2973151", 12.47, 1,     7380.2,  -40.3,    1.0251, 0, 0, 0, 0, 0, 0, 0, 0
"L3179682", 12.47, 3,    7419.13,   81.6,    1.0305, 0, 0, 0, 0, 0, 0, 0, 0
"L2786274", 12.47, 3,    7419.05,   81.6,    1.0305, 0, 0, 0, 0, 0, 0, 0, 0
"L3066816", 12.47, 1,    7219.17,  -44.7,    1.0027, 0, 0, 0, 0, 0, 0, 0, 0
"M1026667", 12.47, 1,    7218.76,  -44.7,    1.0027, 0, 0, 0, 0, 0, 0, 0, 0
"M1108529", 12.47, 1,    7417.21,  -41.7,    1.0302, 2,    7437.38, -163.0,     1.033, 3,    7499.67,   81.1,    1.0417
"M1108532", 12.47, 1,    7414.82,  -41.7,    1.0299, 2,    7435.85, -163.0,    1.0328, 3,    7499.74,   81.1,    1.0417
"L2766723", 12.47, 1,    7220.27,  -44.7,    1.0029, 0, 0, 0, 0, 0, 0, 0, 0
"L3122822", 12.47, 1,    7220.13,  -44.7,    1.0029, 0, 0, 0, 0, 0, 0, 0, 0
"L2673312", 12.47, 1,    7221.69,  -44.9,    1.0031, 0, 0, 0, 0, 0, 0, 0, 0
"L3235247", 12.47, 1,    7221.52,  -44.9,    1.0031, 0, 0, 0, 0, 0, 0, 0, 0
"M1166391", 12.47, 3,    7392.57,   84.8,    1.0268, 0, 0, 0, 0, 0, 0, 0, 0
"L3254873", 12.47, 3,    7388.55,   84.8,    1.0263, 0, 0, 0, 0, 0, 0, 0, 0
"L2861157", 12.47, 3,    7431.94,   84.9,    1.0323, 0, 0, 0, 0, 0, 0, 0, 0
"P901951", 12.47, 3,    7428.23,   84.9,    1.0318, 0, 0, 0, 0, 0, 0, 0, 0
"M1047346", 12.47, 1,    7279.84,  -40.8,    1.0112, 2,    7224.78, -161.7,    1.0035, 3,     7422.8,   79.8,     1.031
"M1047345", 12.47, 1,    7276.04,  -40.8,    1.0106, 2,    7221.48, -161.7,     1.003, 3,    7421.96,   79.8,    1.0309
"L2989596", 12.47, 2,    7274.07, -165.4,    1.0103, 0, 0, 0, 0, 0, 0, 0, 0
"L2822873", 12.47, 2,    7273.98, -165.4,    1.0103, 0, 0, 0, 0, 0, 0, 0, 0
"M1108328", 12.47, 3,     7395.4,   81.5,    1.0272, 0, 0, 0, 0, 0, 0, 0, 0
"L2875754", 12.47, 3,    7395.32,   81.5,    1.0272, 0, 0, 0, 0, 0, 0, 0, 0
"L2786204", 12.47, 3,    7494.37,   85.0,    1.0409, 0, 0, 0, 0, 0, 0, 0, 0
"M1209819", 12.47, 3,     7490.1,   85.0,    1.0404, 0, 0, 0, 0, 0, 0, 0, 0
"P901972", 12.47, 1,    7231.41,  -44.9,    1.0044, 0, 0, 0, 0, 0, 0, 0, 0
"M1009726", 12.47, 1,    7228.64,  -44.9,     1.004, 0, 0, 0, 0, 0, 0, 0, 0
"M1047702", 12.47, 1,    7389.61,  -44.3,    1.0264, 0, 0, 0, 0, 0, 0, 0, 0
"N1137001", 12.47, 1,    7389.57,  -44.3,    1.0264, 0, 0, 0, 0, 0, 0, 0, 0
"L2767340", 12.47, 1,    6921.16,  -40.2,   0.96133, 2,    7090.77, -161.2,   0.98489, 3,    7455.74,   81.8,    1.0356
"M3037449", 12.47, 1,    6921.16,  -40.2,   0.96133, 2,    7090.77, -161.2,   0.98489, 3,    7455.74,   81.8,    1.0356
"M1047457", 12.47, 2,    7134.43, -167.2,   0.99095, 0, 0, 0, 0, 0, 0, 0, 0
"L2710546", 12.47, 2,    7133.52, -167.2,   0.99083, 0, 0, 0, 0, 0, 0, 0, 0
"L2674027", 12.47, 1,    6760.54,  -41.5,   0.93902, 2,    7011.04, -162.8,   0.97382, 3,    7453.65,   81.2,    1.0353
"L2692633", 12.47, 1,     6753.3,  -41.6,   0.93802, 2,    7006.89, -162.9,   0.97324, 3,     7453.6,   81.2,    1.0353
"N1142108", 12.47, 1,    7169.26,  -38.9,   0.99579, 0, 0, 0, 0, 0, 0, 0, 0
"L2674051", 12.47, 1,    7169.18,  -38.9,   0.99578, 0, 0, 0, 0, 0, 0, 0, 0
"M1069135", 12.47, 1,    7304.55,  -40.7,    1.0146, 2,    7246.21, -161.6,    1.0065, 3,    7429.44,   79.9,    1.0319
"R18242", 12.47, 1,     7299.5,  -40.8,    1.0139, 2,    7242.11, -161.6,    1.0059, 3,    7428.91,   79.8,    1.0319
"M1047534", 12.47, 1,    7506.46,  -44.1,    1.0426, 2,     7499.7, -166.2,    1.0417, 3,    7458.57,   79.7,     1.036
"N1136663", 12.47, 1,    7484.98,  -44.2,    1.0396, 2,    7483.04, -166.3,    1.0394, 3,    7446.62,   79.7,    1.0343
"M1108508", 12.47, 3,    7500.39,   80.9,    1.0418, 0, 0, 0, 0, 0, 0, 0, 0
"L3097861", 12.47, 3,    7500.32,   80.9,    1.0418, 0, 0, 0, 0, 0, 0, 0, 0
"M1069560", 12.47, 2,    7269.98, -165.4,    1.0098, 0, 0, 0, 0, 0, 0, 0, 0
"L2973153", 12.47, 1,    7400.38,  -44.3,    1.0279, 2,    7372.05, -166.6,     1.024, 3,    7418.58,   79.6,    1.0304
"N1136998", 12.47, 1,    7399.84,  -44.3,    1.0278, 2,    7370.76, -166.6,    1.0238, 3,    7418.74,   79.6,    1.0304
"L2898515", 12.47, 3,    7485.73,   83.6,    1.0397, 0, 0, 0, 0, 0, 0, 0, 0
"M1166387", 12.47, 3,    7485.54,   83.6,    1.0397, 0, 0, 0, 0, 0, 0, 0, 0
"M1047442", 12.47, 2,    7164.65, -167.1,   0.99515, 0, 0, 0, 0, 0, 0, 0, 0
"L3235250", 12.47, 2,    7164.58, -167.1,   0.99514, 0, 0, 0, 0, 0, 0, 0, 0
"M1142871", 12.47, 1,    7093.49,  -39.0,   0.98527, 2,    7185.88, -159.5,    0.9981, 3,    7460.32,   82.4,    1.0362
"M1142874", 12.47, 1,    7088.22,  -39.0,   0.98454, 2,     7182.8, -159.5,   0.99767, 3,    7460.05,   82.3,    1.0362
"L2955081", 12.47, 1,    7169.74,  -39.0,   0.99586, 2,    7172.95, -159.3,    0.9963, 3,     7421.6,   81.6,    1.0308
"M1108315", 12.47, 1,    7170.08,  -39.0,   0.99591, 2,    7170.23, -159.3,   0.99593, 3,    7419.35,   81.6,    1.0305
"L2973162", 12.47, 1,    7168.48,  -40.7,   0.99568, 2,    7079.17, -161.9,   0.98328, 3,    7412.27,   79.9,    1.0295
"M1026333", 12.47, 1,    7167.88,  -40.7,    0.9956, 2,    7075.39, -161.9,   0.98275, 3,    7413.16,   79.9,    1.0297
"M1009832", 12.47, 2,    7256.26, -167.3,    1.0079, 0, 0, 0, 0, 0, 0, 0, 0
"L2860479", 12.47, 2,    7256.22, -167.3,    1.0079, 0, 0, 0, 0, 0, 0, 0, 0
"M1026854", 12.47, 1,    7338.77,  -44.8,    1.0193, 2,       7400, -166.8,    1.0278, 3,    7392.33,   79.6,    1.0268
"P901894", 12.47, 1,    7338.56,  -44.8,    1.0193, 0, 0, 0, 0, 0, 0, 0, 0
"M1026485", 12.47, 2,    7180.42, -161.7,   0.99734, 0, 0, 0, 0, 0, 0, 0, 0
"M1026492", 12.47, 2,    7180.17, -161.7,   0.99731, 0, 0, 0, 0, 0, 0, 0, 0
"D6413567-3_INT", 12.47, 1,    7403.82,  -40.3,    1.0284, 2,    7370.93, -160.8,    1.0238, 3,    7429.33,   80.3,    1.0319
"E182724", 12.47, 1,    7403.77,  -40.3,    1.0284, 2,    7370.87, -160.8,    1.0238, 3,    7429.33,   80.3,    1.0319
"N1139541", 12.47, 1,    7405.76,  -40.2,    1.0286, 2,    7372.59, -160.8,     1.024, 3,    7429.48,   80.3,    1.0319
"M4122658", 12.47, 1,     6846.5,  -40.8,   0.95096, 2,    7055.46, -161.9,   0.97999, 3,    7455.11,   81.5,    1.0355
"L2933135", 12.47, 1,    6846.31,  -40.8,   0.95093, 2,    7055.36, -161.9,   0.97997, 3,    7455.11,   81.5,    1.0355
"L2729414", 12.47, 1,    7249.19,  -44.6,    1.0069, 2,    7394.27, -166.3,     1.027, 3,    7284.08,   79.7,    1.0117
"L2729430", 12.47, 2,     7293.4, -167.2,     1.013, 0, 0, 0, 0, 0, 0, 0, 0
"L2766742", 12.47, 2,    7286.41, -167.2,    1.0121, 0, 0, 0, 0, 0, 0, 0, 0
