Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2, I3_1, Ang3_1, I3_2, Ang3_2, I3_3, Ang3_3, I3_4, Ang3_4, Iresid3, AngResid3
Line.LN5804790-1,    1.48627,    66.30,          0,     0.00,          0,     0.00,          0,     0.00,    1.48627,    66.30,    1.48714,  -113.83,          0,     0.00,          0,     0.00,          0,     0.00,    1.48714,  -113.83,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6900591-14,    4.60508,   -59.75,          0,     0.00,          0,     0.00,          0,     0.00,    4.60508,   -59.75,    4.60537,   120.24,          0,     0.00,          0,     0.00,          0,     0.00,    4.60537,   120.24,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6409873-1,    10.6296,  -175.10,          0,     0.00,          0,     0.00,          0,     0.00,    10.6296,  -175.10,    10.6299,     4.89,          0,     0.00,          0,     0.00,          0,     0.00,    10.6299,     4.89,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6014135-1,    9.68809,   -55.71,          0,     0.00,          0,     0.00,          0,     0.00,    9.68809,   -55.71,     9.6881,   124.28,          0,     0.00,          0,     0.00,          0,     0.00,     9.6881,   124.28,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6077784-1,    57.9038,   -59.77,    69.7896,   177.97,    42.9259,    64.62,          0,     0.00,    23.8671,  -158.43,    57.9044,   120.23,    69.7901,    -2.03,    42.9262,  -115.38,          0,     0.00,    23.8671,    21.57,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5744338-1,     27.524,  -177.04,          0,     0.00,          0,     0.00,          0,     0.00,     27.524,  -177.04,    27.5242,     2.96,          0,     0.00,          0,     0.00,          0,     0.00,    27.5242,     2.96,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6991381-4,    5.11188,   -59.53,          0,     0.00,          0,     0.00,          0,     0.00,    5.11188,   -59.53,    5.11225,   120.46,          0,     0.00,          0,     0.00,          0,     0.00,    5.11225,   120.46,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5774480-1,    32.1346,   179.61,          0,     0.00,          0,     0.00,          0,     0.00,    32.1346,   179.61,    32.1353,    -0.39,          0,     0.00,          0,     0.00,          0,     0.00,    32.1353,    -0.39,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5986938-3,    5.44056,   -59.48,          0,     0.00,          0,     0.00,          0,     0.00,    5.44056,   -59.48,     5.4406,   120.52,          0,     0.00,          0,     0.00,          0,     0.00,     5.4406,   120.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5894230-1,    1.44861,    69.86,          0,     0.00,          0,     0.00,          0,     0.00,    1.44861,    69.86,    1.44918,  -110.22,          0,     0.00,          0,     0.00,          0,     0.00,    1.44918,  -110.22,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5683858-3,    2.60754,   -59.67,    4.19834,   178.66,    2.96019,    64.81,          0,     0.00,    1.70347,   162.00,    2.60767,   120.33,    4.19848,    -1.35,    2.96027,  -115.20,          0,     0.00,    1.70347,   -18.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5920279-5,    351.025,   -49.56,    328.521,  -171.36,    226.448,    79.10,          0,     0.00,    108.683,  -119.97,    351.025,   130.44,    328.521,     8.64,    226.448,  -100.90,          0,     0.00,    108.683,    60.03,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6439600-1,    1.30114,   -59.72,          0,     0.00,          0,     0.00,          0,     0.00,    1.30114,   -59.72,    1.30163,   120.20,          0,     0.00,          0,     0.00,          0,     0.00,    1.30163,   120.20,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5589097-1,    1.98482,   -53.83,          0,     0.00,          0,     0.00,          0,     0.00,    1.98482,   -53.83,    1.98494,   126.16,          0,     0.00,          0,     0.00,          0,     0.00,    1.98494,   126.16,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5651975-1,    61.6245,   -59.52,    14.9785,   178.94,    33.6802,    64.82,          0,     0.00,    37.9078,   -36.13,    61.6248,   120.48,    14.9788,    -1.06,    33.6804,  -115.19,          0,     0.00,    37.9078,   143.87,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5865236-1,     2.5416,   -59.09,          0,     0.00,          0,     0.00,          0,     0.00,     2.5416,   -59.09,    2.54165,   120.91,          0,     0.00,          0,     0.00,          0,     0.00,    2.54165,   120.91,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5593232-1,    1.44176,    65.52,          0,     0.00,          0,     0.00,          0,     0.00,    1.44176,    65.52,    1.44242,  -114.57,          0,     0.00,          0,     0.00,          0,     0.00,    1.44242,  -114.57,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5740283-1,     1.7168,    67.12,          0,     0.00,          0,     0.00,          0,     0.00,     1.7168,    67.12,    1.71683,  -112.88,          0,     0.00,          0,     0.00,          0,     0.00,    1.71683,  -112.88,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6106559-1,    3.96453,   179.65,          0,     0.00,          0,     0.00,          0,     0.00,    3.96453,   179.65,    3.96498,    -0.37,          0,     0.00,          0,     0.00,          0,     0.00,    3.96498,    -0.37,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5714056-3,    51.7839,   -59.56,    11.4926,   178.87,    25.7681,    64.79,          0,     0.00,    33.2723,   -39.37,    51.7849,   120.44,    11.4937,    -1.14,    25.7687,  -115.21,          0,     0.00,    33.2723,   140.63,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5985355-3,    56.0657,   179.65,          0,     0.00,          0,     0.00,          0,     0.00,    56.0657,   179.65,     56.066,    -0.35,          0,     0.00,          0,     0.00,          0,     0.00,     56.066,    -0.35,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5531956-1,    1.30172,   -58.14,          0,     0.00,          0,     0.00,          0,     0.00,    1.30172,   -58.14,    1.30203,   121.81,          0,     0.00,          0,     0.00,          0,     0.00,    1.30203,   121.81,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5650048-1,    1.42162,   179.60,          0,     0.00,          0,     0.00,          0,     0.00,    1.42162,   179.60,     1.4219,    -0.44,          0,     0.00,          0,     0.00,          0,     0.00,     1.4219,    -0.44,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6290203-1,    21.9295,   -59.11,    54.9163,   177.98,    39.8474,    63.94,          0,     0.00,    32.2434,   144.10,    21.9303,   120.89,    54.9171,    -2.02,    39.8479,  -116.06,          0,     0.00,    32.2433,   -35.90,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6134414-1,    2.85207,    65.64,          0,     0.00,          0,     0.00,          0,     0.00,    2.85207,    65.64,    2.85235,  -114.38,          0,     0.00,          0,     0.00,          0,     0.00,    2.85235,  -114.38,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6259998-2,    1.75292,    64.65,          0,     0.00,          0,     0.00,          0,     0.00,    1.75292,    64.65,    1.75298,  -115.36,          0,     0.00,          0,     0.00,          0,     0.00,    1.75298,  -115.36,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6078767-1,    107.209,   -31.01,    127.001,  -155.99,    155.932,    81.93,          0,     0.00,    47.5335,    92.71,    107.209,   148.99,    127.001,    24.01,    155.932,   -98.07,          0,     0.00,    47.5334,   -87.29,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6017300-1,   0.867565,    65.39,          0,     0.00,          0,     0.00,          0,     0.00,   0.867565,    65.39,   0.867965,  -114.71,          0,     0.00,          0,     0.00,          0,     0.00,   0.867965,  -114.71,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN8979257-2,    1.37421,   -55.26,    1.45595,  -176.23,    1.44452,    66.95,          0,     0.00,   0.147392,   135.05,    1.37464,   124.67,    1.45639,     3.71,    1.44499,  -113.12,          0,     0.00,   0.147339,   -45.02,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN81048109-1,    4.43623,  -176.31,          0,     0.00,          0,     0.00,          0,     0.00,    4.43623,  -176.31,    4.43812,     3.60,          0,     0.00,          0,     0.00,          0,     0.00,    4.43812,     3.60,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.293471,    1.29216,   -55.72,     1.4459,  -176.86,     1.4436,    64.94,          0,     0.00,   0.191779,   122.99,    1.29238,   124.25,    1.44615,     3.11,    1.44376,  -115.09,          0,     0.00,   0.191751,   -57.01,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5534965-2,    1.27722,   -59.41,          0,     0.00,          0,     0.00,          0,     0.00,    1.27722,   -59.41,    1.27725,   120.59,          0,     0.00,          0,     0.00,          0,     0.00,    1.27725,   120.59,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5655683-1,    20.4478,   -59.63,          0,     0.00,          0,     0.00,          0,     0.00,    20.4478,   -59.63,    20.4479,   120.37,          0,     0.00,          0,     0.00,          0,     0.00,    20.4479,   120.37,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5686247-1,    2.00746,  -174.34,          0,     0.00,          0,     0.00,          0,     0.00,    2.00746,  -174.34,    2.00749,     5.65,          0,     0.00,          0,     0.00,          0,     0.00,    2.00749,     5.65,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6048642-1, 0.00189263,   -69.43,          0,     0.00,          0,     0.00,          0,     0.00, 0.00189263,   -69.43, 1.81899E-012,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00, 1.81899E-012,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5928544-3,    14.7069,    64.27,          0,     0.00,          0,     0.00,          0,     0.00,    14.7069,    64.27,    14.7072,  -115.73,          0,     0.00,          0,     0.00,          0,     0.00,    14.7072,  -115.73,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6108172-1,    2.59142,   -59.61,          0,     0.00,          0,     0.00,          0,     0.00,    2.59142,   -59.61,    2.59237,   120.31,          0,     0.00,          0,     0.00,          0,     0.00,    2.59237,   120.31,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5532754-1,    56.9109,   -59.53,    14.9829,   178.89,    28.1161,    64.83,          0,     0.00,    34.7988,   -42.07,     56.911,   120.47,     14.983,    -1.12,    28.1162,  -115.17,          0,     0.00,    34.7988,   137.93,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5591834-1,     3.7337,    67.45,          0,     0.00,          0,     0.00,          0,     0.00,     3.7337,    67.45,    3.73403,  -112.57,          0,     0.00,          0,     0.00,          0,     0.00,    3.73403,  -112.57,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6347196-2,     27.981,   -59.53,    10.6655,   178.85,    25.7695,    64.78,          0,     0.00,    14.5179,    -2.33,    27.9812,   120.47,    10.6658,    -1.15,    25.7696,  -115.23,          0,     0.00,    14.5179,   177.67,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5532741-1,    9.02899,    66.38,          0,     0.00,          0,     0.00,          0,     0.00,    9.02899,    66.38,    9.02926,  -113.62,          0,     0.00,          0,     0.00,          0,     0.00,    9.02926,  -113.62,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5804803-1,   0.782599,   -55.37,          0,     0.00,          0,     0.00,          0,     0.00,   0.782599,   -55.37,   0.783925,   124.26,          0,     0.00,          0,     0.00,          0,     0.00,   0.783925,   124.26,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6169248-1,    111.491,   -59.74,    74.6255,   178.01,    45.8197,    64.66,          0,     0.00,    52.3127,   -88.67,    111.492,   120.26,    74.6264,    -1.99,    45.8201,  -115.35,          0,     0.00,    52.3127,    91.33,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5532786-2,    2.25839,   178.21,          0,     0.00,          0,     0.00,          0,     0.00,    2.25839,   178.21,    2.25847,    -1.80,          0,     0.00,          0,     0.00,          0,     0.00,    2.25847,    -1.80,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5744339-1,    16.5971,   -55.69,          0,     0.00,          0,     0.00,          0,     0.00,    16.5971,   -55.69,    16.5974,   124.31,          0,     0.00,          0,     0.00,          0,     0.00,    16.5974,   124.31,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5531255-3,    16.9505,   -59.84,          0,     0.00,          0,     0.00,          0,     0.00,    16.9505,   -59.84,    16.9508,   120.16,          0,     0.00,          0,     0.00,          0,     0.00,    16.9508,   120.16,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5926308-2,    40.5132,   -55.62,     49.511,  -176.90,    19.2201,    65.12,          0,     0.00,    26.2687,  -134.69,    40.5135,   124.38,    49.5113,     3.10,    19.2202,  -114.89,          0,     0.00,    26.2688,    45.31,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5683856-3,    1.27673,   -59.47,          0,     0.00,          0,     0.00,          0,     0.00,    1.27673,   -59.47,    1.27685,   120.51,          0,     0.00,          0,     0.00,          0,     0.00,    1.27685,   120.51,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6171502-1,    2.03906,   -59.37,          0,     0.00,          0,     0.00,          0,     0.00,    2.03906,   -59.37,    2.03909,   120.62,          0,     0.00,          0,     0.00,          0,     0.00,    2.03909,   120.62,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5593228-1,    1.41566,   177.75,          0,     0.00,          0,     0.00,          0,     0.00,    1.41566,   177.75,    1.41594,    -2.29,          0,     0.00,          0,     0.00,          0,     0.00,    1.41594,    -2.29,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6380800-1,    1.42186,   177.69,          0,     0.00,          0,     0.00,          0,     0.00,    1.42186,   177.69,    1.42213,    -2.35,          0,     0.00,          0,     0.00,          0,     0.00,    1.42213,    -2.35,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6199525-2,   0.520387,   -55.63,          0,     0.00,          0,     0.00,          0,     0.00,   0.520387,   -55.63,   0.520701,   124.24,          0,     0.00,          0,     0.00,          0,     0.00,   0.520701,   124.24,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5772710-2,    10.2034,   -59.76,          0,     0.00,          0,     0.00,          0,     0.00,    10.2034,   -59.76,    10.2038,   120.23,          0,     0.00,          0,     0.00,          0,     0.00,    10.2038,   120.23,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN8961760-1,    5.07376,    64.85,          0,     0.00,          0,     0.00,          0,     0.00,    5.07376,    64.85,    5.07386,  -115.16,          0,     0.00,          0,     0.00,          0,     0.00,    5.07386,  -115.16,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6047556-1,     1.4269,    65.60,          0,     0.00,          0,     0.00,          0,     0.00,     1.4269,    65.60,    1.42744,  -114.48,          0,     0.00,          0,     0.00,          0,     0.00,    1.42744,  -114.48,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6138603-1,    2.24689,   177.96,          0,     0.00,          0,     0.00,          0,     0.00,    2.24689,   177.96,    2.24747,    -2.09,          0,     0.00,          0,     0.00,          0,     0.00,    2.24747,    -2.09,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6108139-1,   0.864704,   177.76,          0,     0.00,          0,     0.00,          0,     0.00,   0.864704,   177.76,   0.864787,    -2.26,          0,     0.00,          0,     0.00,          0,     0.00,   0.864787,    -2.26,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6388581-2,   0.781365,   -59.32,          0,     0.00,          0,     0.00,          0,     0.00,   0.781365,   -59.32,   0.781606,   120.61,          0,     0.00,          0,     0.00,          0,     0.00,   0.781606,   120.61,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5774460-1,   0.779087,   -59.72,          0,     0.00,          0,     0.00,          0,     0.00,   0.779087,   -59.72,   0.779359,   120.21,          0,     0.00,          0,     0.00,          0,     0.00,   0.779359,   120.21,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5624387-1,    2.19936,    66.45,          0,     0.00,          0,     0.00,          0,     0.00,    2.19936,    66.45,    2.19961,  -113.57,          0,     0.00,          0,     0.00,          0,     0.00,    2.19961,  -113.57,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6137087-1,    11.6044,    65.44,          0,     0.00,          0,     0.00,          0,     0.00,    11.6044,    65.44,    11.6046,  -114.57,          0,     0.00,          0,     0.00,          0,     0.00,    11.6046,  -114.57,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6077809-1,    14.7842,    64.34,          0,     0.00,          0,     0.00,          0,     0.00,    14.7842,    64.34,    14.7847,  -115.67,          0,     0.00,          0,     0.00,          0,     0.00,    14.7847,  -115.67,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6440079-1,    3.73403,    67.43,          0,     0.00,          0,     0.00,          0,     0.00,    3.73403,    67.43,    3.73427,  -112.58,          0,     0.00,          0,     0.00,          0,     0.00,    3.73427,  -112.58,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5804794-1,    11.5655,   -55.37,          0,     0.00,          0,     0.00,          0,     0.00,    11.5655,   -55.37,    11.5658,   124.62,          0,     0.00,          0,     0.00,          0,     0.00,    11.5658,   124.62,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5654484-1,    1.44082,    66.64,          0,     0.00,          0,     0.00,          0,     0.00,    1.44082,    66.64,    1.44094,  -113.38,          0,     0.00,          0,     0.00,          0,     0.00,    1.44094,  -113.38,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5774465-1,    2.59888,   -59.30,          0,     0.00,          0,     0.00,          0,     0.00,    2.59888,   -59.30,    2.59943,   120.66,          0,     0.00,          0,     0.00,          0,     0.00,    2.59943,   120.66,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5473349-1,    300.651,   -49.15,    305.764,  -171.29,    212.076,    79.89,          0,     0.00,    94.2964,  -136.49,    300.651,   130.85,    305.764,     8.71,    212.076,  -100.11,          0,     0.00,    94.2964,    43.51,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6169253-1,    1.29421,   -59.66,          0,     0.00,          0,     0.00,          0,     0.00,    1.29421,   -59.66,    1.29447,   120.30,          0,     0.00,          0,     0.00,          0,     0.00,    1.29447,   120.30,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6350536-1,   0.775258,   -59.80,          0,     0.00,          0,     0.00,          0,     0.00,   0.775258,   -59.80,   0.776017,   119.99,          0,     0.00,          0,     0.00,          0,     0.00,   0.776017,   119.99,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6048523-1,    20.9392,    69.85,          0,     0.00,          0,     0.00,          0,     0.00,    20.9392,    69.85,    20.9397,  -110.15,          0,     0.00,          0,     0.00,          0,     0.00,    20.9397,  -110.15,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5594152-1,    23.2498,    69.90,          0,     0.00,          0,     0.00,          0,     0.00,    23.2498,    69.90,    23.2504,  -110.11,          0,     0.00,          0,     0.00,          0,     0.00,    23.2504,  -110.11,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5865248-1,    47.4542,   -55.63,    51.6582,  -176.89,    19.2185,    65.14,          0,     0.00,    29.6861,  -124.26,    47.4546,   124.37,    51.6585,     3.11,    19.2188,  -114.86,          0,     0.00,    29.6862,    55.74,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6046143-1,   0.561395,   179.78,          0,     0.00,          0,     0.00,          0,     0.00,   0.561395,   179.78,   0.561792,    -0.37,          0,     0.00,          0,     0.00,          0,     0.00,   0.561792,    -0.37,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5803287-1,    2.93396,    66.48,          0,     0.00,          0,     0.00,          0,     0.00,    2.93396,    66.48,    2.93406,  -113.53,          0,     0.00,          0,     0.00,          0,     0.00,    2.93406,  -113.53,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
